qHawaxID,timestamp,idPollutant,Value
48,"2021-04-19 23:00:00",5,85.922
48,"2021-04-19 23:00:00",6,29.999
48,"2021-04-19 23:00:00",7,4.517
48,"2021-04-20 00:00:00",1,2474.439
48,"2021-04-20 00:00:00",2,20.105
48,"2021-04-20 00:00:00",3,78.21
48,"2021-04-20 00:00:00",4,45.642
48,"2021-04-20 00:00:00",5,130.771
48,"2021-04-20 00:00:00",6,42.441
48,"2021-04-20 00:00:00",7,3.519
48,"2021-04-20 03:00:00",1,1832.161
48,"2021-04-20 03:00:00",2,17.462
48,"2021-04-20 03:00:00",3,75.832
48,"2021-04-20 03:00:00",4,36.501
48,"2021-04-20 03:00:00",5,113.345
48,"2021-04-20 03:00:00",6,43.847
48,"2021-04-20 03:00:00",7,3.331
48,"2021-04-20 19:00:00",1,1143.679
48,"2021-04-20 19:00:00",2,13.121
48,"2021-04-20 19:00:00",3,57.537
48,"2021-04-20 19:00:00",4,45.464
48,"2021-04-20 19:00:00",5,58.369
48,"2021-04-20 19:00:00",6,19.25
48,"2021-04-20 19:00:00",7,6.643
48,"2021-04-25 22:00:00",1,188.449
48,"2021-04-25 22:00:00",2,11.043
48,"2021-04-25 22:00:00",3,64.398
48,"2021-04-25 22:00:00",4,37.262
48,"2021-04-25 22:00:00",5,40.57
48,"2021-04-25 22:00:00",6,17.29
48,"2021-04-25 22:00:00",7,6.217
49,"2021-04-19 14:00:00",1,1366.194
49,"2021-04-19 14:00:00",2,15.345
49,"2021-04-19 14:00:00",3,79.336
49,"2021-04-19 14:00:00",4,30.912
49,"2021-04-19 14:00:00",5,72.034
49,"2021-04-19 14:00:00",6,26.559
49,"2021-04-19 14:00:00",7,13.938
49,"2021-04-19 15:00:00",1,1249.213
49,"2021-04-19 15:00:00",2,14.678
49,"2021-04-19 15:00:00",3,73.032
49,"2021-04-19 15:00:00",4,29.271
49,"2021-04-19 15:00:00",5,56.329
49,"2021-04-19 15:00:00",6,22.266
49,"2021-04-19 15:00:00",7,14.011
49,"2021-04-19 17:00:00",1,1181.988
49,"2021-04-19 17:00:00",2,12.139
49,"2021-04-19 17:00:00",3,49.533
49,"2021-04-19 17:00:00",4,20.906
49,"2021-04-19 17:00:00",5,44.619
49,"2021-04-19 17:00:00",6,14.957
49,"2021-04-19 17:00:00",7,15.124
49,"2021-04-19 23:00:00",1,2444.093
49,"2021-04-19 23:00:00",2,17.79
49,"2021-04-19 23:00:00",3,64.823
49,"2021-04-19 23:00:00",4,50.893
49,"2021-04-19 23:00:00",5,49.674
49,"2021-04-19 23:00:00",6,12.622
49,"2021-04-19 23:00:00",7,15.25
49,"2021-04-20 00:00:00",1,3104.297
49,"2021-04-20 00:00:00",2,18.099
49,"2021-04-20 00:00:00",3,71.252
49,"2021-04-20 00:00:00",4,52.986
49,"2021-04-20 00:00:00",5,50.892
49,"2021-04-20 00:00:00",6,14.097
49,"2021-04-20 00:00:00",7,15.35
49,"2021-04-20 03:00:00",1,1416.644
49,"2021-04-20 03:00:00",2,15.873
49,"2021-04-20 03:00:00",3,72.378
49,"2021-04-20 03:00:00",4,38.396
49,"2021-04-20 03:00:00",5,50.959
49,"2021-04-20 03:00:00",6,14.339
49,"2021-04-20 03:00:00",7,13.754
49,"2021-04-20 19:00:00",1,1677.193
49,"2021-04-20 19:00:00",2,13.509
49,"2021-04-20 19:00:00",3,12.543
49,"2021-04-20 19:00:00",4,22.984
49,"2021-04-20 19:00:00",5,36.381
49,"2021-04-20 19:00:00",6,7.482
49,"2021-04-20 19:00:00",7,9.916
49,"2021-04-25 22:00:00",1,462.957
49,"2021-04-25 22:00:00",2,14.589
49,"2021-04-25 22:00:00",3,66.07
49,"2021-04-25 22:00:00",4,40.778
49,"2021-04-25 22:00:00",5,24.223
49,"2021-04-25 22:00:00",6,8.64
49,"2021-04-25 22:00:00",7,13.032
50,"2021-04-19 14:00:00",1,2699.164
50,"2021-04-19 14:00:00",2,12.06
50,"2021-04-19 14:00:00",3,48.493
50,"2021-04-19 14:00:00",4,40.028
50,"2021-04-19 14:00:00",5,56.643
50,"2021-04-19 14:00:00",6,18.175
50,"2021-04-19 14:00:00",7,6.554
50,"2021-04-19 15:00:00",1,1424.651
50,"2021-04-19 15:00:00",2,6.538
50,"2021-04-19 15:00:00",3,38.896
50,"2021-04-19 15:00:00",4,49.817
50,"2021-04-19 15:00:00",5,45.5
50,"2021-04-19 15:00:00",6,15.346
50,"2021-04-19 15:00:00",7,7.695
50,"2021-04-19 17:00:00",1,666.001
50,"2021-04-19 17:00:00",2,12.343
50,"2021-04-19 17:00:00",3,34.204
50,"2021-04-19 17:00:00",4,53.689
50,"2021-04-19 17:00:00",5,30.093
50,"2021-04-19 17:00:00",6,6.853
50,"2021-04-19 17:00:00",7,14.936
50,"2021-04-19 23:00:00",1,1583.835
50,"2021-04-19 23:00:00",2,18.682
50,"2021-04-19 23:00:00",3,74.893
50,"2021-04-19 23:00:00",4,2.024
50,"2021-04-19 23:00:00",5,31.017
